long,lat,hectare,date,age,primary_fur_color
-73.971970670614,40.7720868124544,09F,10132018,Adult,Gray
-73.9705509170542,40.7689416540228,06I,10132018,Adult,Black
-73.9745709109056,40.7672225695415,03G,10082018,Adult,Gray
-73.9792039071114,40.7678749471267,02C,10102018,Adult,Gray
-73.9738410069766,40.7691686156505,05F,10072018,Adult,Gray
-73.9554327683595,40.7953846381499,38E,10102018,Adult,Gray
-73.9608399003798,40.7817704502248,23I,10192018,Adult,Gray
-73.9638312025305,40.7903826659569,30B,10072018,Adult,Gray
-73.9709040623777,40.7701163892686,07H,10062018,Adult,Gray
-73.9717580228664,40.7715726159383,08F,10122018,Adult,Gray
-73.9761579527932,40.7755877312075,10A,10142018,Adult,Gray
-73.9545799024508,40.7908084039886,34I,10102018,Adult,Gray
-73.9695569897042,40.7712062147171,09H,10182018,Adult,Gray
-73.9767016963397,40.7674012784541,02E,10142018,Adult,Gray
-73.9672950266018,40.7782477517567,17F,10202018,Adult,Gray
-73.9667114027214,40.7768804702473,16G,10172018,Adult,Gray
-73.9766195697096,40.7661907261547,01F,10102018,Adult,Gray
-73.958417813526,40.7927301214476,34E,10062018,Adult,Gray
-73.9772576561244,40.7679895093963,03D,10062018,Adult,Cinnamon
-73.9786474809514,40.7679715341109,02C,10132018,Adult,Gray
-73.9540054100539,40.7952445999836,39G,10132018,Adult,Gray
-73.9743342303548,40.7727742948332,08D,10072018,Adult,Gray
-73.9690832219322,40.782343340986,20B,10132018,Adult,Gray
-73.9640526358598,40.7907411574825,30B,10072018,Adult,Gray
-73.9587787592751,40.7981699014259,40A,10102018,Juvenile,Gray
-73.9511118711108,40.7950813345902,40I,10182018,Adult,Cinnamon
-73.9738817388158,40.7712709366093,07E,10062018,Adult,Gray
-73.957600085245,40.7936111607879,35E,10062018,Adult,Gray
-73.9621297946132,40.7944058222814,34A,10132018,Adult,Cinnamon
-73.9662409997642,40.7891042935432,28A,10072018,Adult,Cinnamon
-73.9718234159557,40.7810842503715,18A,10122018,Adult,Gray
-73.9752673884392,40.7662642413761,02G,10102018,Adult,Gray
-73.952526164386,40.7963759240504,40G,10072018,Juvenile,Cinnamon
-73.9746933852572,40.773313866931,09C,10062018,Adult,Gray
-73.9629420113622,40.789133072717,29C,10072018,Adult,Gray
-73.9534306291679,40.7959052073753,39G,10132018,Adult,Gray
-73.9651817987035,40.7819082838334,21E,10172018,Adult,Gray
-73.9545427611477,40.7930353817441,36G,10122018,Adult,Gray
-73.9710187505339,40.7797265666746,17B,10102018,Adult,Cinnamon
-73.9703314162405,40.778584776139,16D,10102018,Adult,Gray
-73.9701481200298,40.7751110354034,12F,10202018,Adult,Cinnamon
-73.9704862864304,40.7739583111676,11F,10062018,Adult,Gray
-73.9786603147149,40.7671937837017,01D,10062018,Adult,Cinnamon
-73.9591695545875,40.7938116360767,35D,10132018,Adult,Gray
-73.9705977059862,40.7760413182276,13E,10172018,Adult,Gray
-73.9703925210471,40.7765032004992,14E,10082018,Adult,Gray
-73.973552877209,40.7715638228207,07E,10132018,Adult,Gray
-73.9700785314537,40.777714111862,15D,10072018,Adult,Gray
-73.9702348982803,40.7773295419104,15D,10172018,Adult,Gray
-73.9716736557408,40.7749333494336,12E,10172018,Adult,Gray
-73.9720065066618,40.7764043782924,13C,10102018,Adult,Gray
-73.9679336341793,40.7754186579647,14G,10132018,Adult,Gray
-73.9793082679745,40.7679930598805,02C,10132018,Adult,Gray
-73.9725844658514,40.7701092834201,07F,10122018,Adult,Gray
-73.9718262034469,40.7666771797442,04I,10072018,Adult,Black
-73.9655905300923,40.7752614638023,14I,10182018,Adult,Cinnamon
-73.9733545802515,40.7675056025357,04G,10062018,Adult,Black
-73.9711319254625,40.7760324859879,13D,10182018,Adult,Gray
-73.9746063250438,40.7687654196811,04F,10132018,Juvenile,Cinnamon
-73.9684376038582,40.7824275067237,20C,10182018,Adult,Cinnamon
-73.9582150734453,40.7962862794303,38C,10192018,Juvenile,Gray
-73.9641088172632,40.7886555184212,28C,10142018,Adult,Black
-73.9765269282059,40.7746876635248,09A,10132018,Juvenile,Cinnamon
-73.9756976076707,40.7753897331918,10A,10142018,Adult,Gray
-73.9570130017159,40.7996027428625,42B,10142018,Adult,Black
-73.9672127283283,40.7810666805133,20D,10072018,Adult,Gray
-73.9735587560787,40.7672346255151,03G,10132018,Adult,Gray
-73.9562469727195,40.79685907654,39D,10082018,Adult,Gray
-73.9694166642262,40.7697788641081,08I,10132018,Adult,Gray
-73.9583101927652,40.7852649316039,27I,10202018,Adult,Gray
-73.9638599044346,40.7809288795308,21G,10142018,Adult,Gray
-73.9697583235533,40.7787320391004,16D,10072018,Adult,Gray
-73.969570012716,40.7816501516863,19B,10182018,Adult,Gray
-73.964274290774,40.7795319556023,19H,10102018,Juvenile,Gray
-73.9632577850183,40.793112839016,33A,10082018,Adult,Gray
-73.9766440589836,40.7682390282581,03E,10062018,Adult,Gray
-73.9718729101676,40.7703692621371,07G,10182018,Adult,Gray
-73.9784863123685,40.7669225020831,01D,10062018,Juvenile,Gray
-73.9765027953575,40.7717327360835,07C,10122018,Adult,Gray
-73.9703571491616,40.7678515625131,05I,10102018,Adult,Gray
-73.9650387848001,40.7814134438394,21F,10182018,Adult,Cinnamon
-73.9690079924094,40.7845473505585,22A,10082018,Adult,Gray
-73.971379936565,40.7721434941226,09F,10142018,Adult,Gray
-73.9688293382172,40.7738958027568,12G,10122018,Adult,Gray
-73.9700666654946,40.7742857042581,12F,10072018,Adult,Gray
-73.9549135206961,40.798525897229,42D,10132018,Adult,Gray
-73.975028559002,40.7667307335544,02F,10142018,Adult,Gray
-73.9756810453606,40.7756257458036,11A,10132018,Adult,Cinnamon
-73.9631464693769,40.793415656751,33A,10182018,Adult,Gray
-73.9733882364574,40.7683078706597,05G,10062018,Adult,Gray
-73.9771726831497,40.7732320781799,08A,10132018,Adult,Gray
-73.9773096718574,40.7738053862489,08A,10132018,Juvenile,Gray
-73.9594446018346,40.7917800352042,33D,10172018,Adult,Black
-73.9570391901515,40.7930697207834,35F,10072018,Adult,Gray
-73.9682760864462,40.7780727569417,16E,10182018,Adult,Gray
-73.9562442622553,40.7957285542564,38E,10102018,Adult,Gray
-73.9716402454355,40.7665133780672,03I,10132018,Adult,Black
-73.9519639918804,40.7949911702392,39H,10072018,Adult,Gray
